"TAnn","TmeanWarmQ","TmeanCQ","Pann","PwetM","PDM","Pseas","PwetQ","PDQ","PWarmQ","PCQ","TDiRange","TIsother","TSD","TmaxWarmM","TminCM","TannR","TmeanWetQ","TmeanDQ","PopGHMismatch","pH","pA","pV","pAV","pT","elevation","ht","wt","nonteo","teo","ht.dec","wt.dec","ch.ht","ch.wt","pca1","pca2","spores","reprod","PriestlyTaylor","soilpca1","AET","P.Bray.ppm","InorganicN.ppm","arena","arcilla","limo","PuntoDeSaturacionPercent","CapacidadDeCampoPercent","PuntoMarchPermPercent","DensidadAparente","pH.1.2agua","CarbonatosTotalesPercent","MOPercent","K.ppm","Ca.ppm","Mg.ppm","Na.ppm","Fe.ppm","Zn.ppm","Mn.ppm","Cu.ppm","CEe","RAS","pHe","PSI","Ca.ion.m.l","Mg.ion.m.l","Na.ion.m.l","K.ion.m.l","CO3.ion.m.l","HCO3.ion.m.l","Cl.ion.m.l","SO4.ion.m.l","Ca.mg.pergram","Mg.K.pergram","CaMg.K.pergram","Ca.K.pergram","Ca.m.gr","Mg.m.gr","K.m.gr","Na.m.gr","CIC"
132,151,106,828,172,7,88,469,35,241,35,146,68,1750,230,17,213,146,106,87.3382183856735,0.870510064265762,0.671164543622499,0.13911504002668,0.405139791824589,0.560263215971647,2698,118.146666666667,13.3806666666667,68.3333333333333,33,153.666666666667,10.155,35.52,-3.22566666666666,6.28678332911538,2.45013983281452,532,13.6425,51,-4.45084116176189,703,39.2,14.1,92.56,3.8,3.64,29,21.8,11.4,1.43,6.59,0.01,0.67,96.3,354,55.5,26.4,25.9,0.39,2.23,0.23,0.23,1.84,7.68,4.26,0.84,0.7,0.82,0.07,0.56,0.34,0.85,0.52,3.93,1.8,8.88,7,1.77,0.45,0.25,0.11,2.58
129,147,104,857,175,8,88,481,36,250,36,144,68,1706,226,17,209,139,104,91.3382183856735,0.794149106130113,0.618784184998171,0.065556712274655,0.342170448636413,0.492830001134313,2792,181.485714285714,21.6171428571429,58.2142857142857,41.0714285714286,153.916666666667,13.01,-27.5690476190476,-8.60714285714286,6.49913149420536,2.86500759403871,1233,13.95875,54,-4.17467759581843,732,71.1,16.2,84.5,4.8,10.64,31,23.3,12.2,1.44,6.07,0.01,1.25,142,749,26.2,25.9,31.8,0.67,4.63,0.38,0.28,1.32,7.35,2.48,0.9,0.86,0.6,0.08,0.48,0.56,1.5,0.26,17.9,0.58,11,10,3.75,0.21,0.36,0.11,4.43
147,167,121,817,169,7,93,482,23,253,23,166,69,1792,259,20,239,161,121,71.3382183856735,0.846937571589975,0.558870906744572,0.0930570639282073,0.32596398533639,0.499621847420918,2408,38.9153846153846,7.70769230769231,69.6153846153846,33.5384615384615,171.083333333333,10.0691666666667,132.167948717949,2.36147435897436,5.31916930442824,0.511740992105344,432,16.085,44,-1.7846316729817,691,48.3,15.5,63.12,11.6,25.28,37,27.8,14.6,1.4,6.18,0.1,1.4,189,757,240,10.7,56,1.81,5.94,0.88,0.38,0.48,7.42,0.79,1.2,1.26,1,0.17,0.64,1.16,1.01,1.03,1.92,4.1,12,8,3.79,1.97,0.48,0.05,6.29
144,165,116,935,195,7,95,556,28,274,28,167,68,1947,257,13,244,160,116,73.3382183856735,0.743999610364309,0.561830313656731,0.0452431976102344,0.303536755633483,0.450357707210425,2507,22.02,3.904,98.4,4.4,143.583333333333,9.49916666666667,121.563333333333,5.59516666666667,5.31339922319385,0.717345916614001,762,10.185,51,-1.54484187805342,789,44.3,13.4,71.2,7.6,21.28,45,33.8,17.7,1.3,6.18,0.01,1.97,498,966,167,27.5,34.5,2.63,2.51,1.07,0.28,1.16,7.05,1.58,0.56,0.44,0.78,0.29,0.48,1,0.51,0.83,3.53,1.08,4.88,4,4.83,1.37,1.27,0.12,7.59
186,206,163,928,189,5,98,558,30,272,30,149,66,1639,296,73,223,195,163,32.3382183856735,0.678953487905533,0.383447593973934,0.0228097843418773,0.203128689157906,0.361736955407115,1881,62.4642857142857,11.41,76.0714285714286,22.5,221.333333333333,8.11583333333333,158.869047619048,-3.29416666666667,2.455585230077,0.84767833831718,567,14.8433333333,47,6.15761540467787,787,223,16.9,63.12,9.6,27.28,74,55.5,29.1,0.88,6.14,0.01,10.6,827,4076,527,31.5,81.8,48.7,20.5,0.96,0.52,0.66,7.23,0.52,2.96,1.92,0.56,0.44,0.56,3.3,1.47,0.01,4.72,2.04,11.7,10,20.4,4.32,2.12,0.14,26
143,161,119,926,178,8,92,526,28,285,28,161,69,1663,252,21,231,154,119,77.3382183856735,0.885762524742062,0.733515406078927,0.112428085432924,0.422971745755925,0.577235338751304,2491.5,76.5785714285714,11.3385714285714,73.3571428571429,28.5714285714286,191.25,15.2363636363636,114.671428571429,3.89779220779221,5.48829404576722,1.53791078763236,915,11.7966666667,52,-2.47492894275468,785,27.1,12.7,65.12,7.6,27.28,44,33,17.3,1.24,5.85,0.01,1.96,261,1034,170,10.3,64.8,1.24,5.95,0.97,0.28,0.42,6.34,0.55,0.84,0.8,0.82,0.11,0.01,1.04,0.76,1.01,3.72,2.07,9.79,8,5.17,1.39,0.67,0.04,7.27
150,169,124,730,153,6,92,431,20,232,20,170,70,1797,263,21,242,164,124,69.3382183856735,0.782685202433206,0.549711356638987,0.0902165477970881,0.319963952218037,0.474204368956427,2353,52.88,9.20533333333333,79.6666666666667,22.6666666666667,180.75,14.0625,127.87,4.85716666666667,5.28299913900353,-0.0370201955951333,223,20.2366666667,39,-0.119420872826848,618,68.5,12,61.12,11.6,27.28,41,30.8,16.1,1.35,6.33,0.01,2.11,315,1575,227,14.8,53.8,7.17,6.02,1.4,0.48,0.49,7.3,0.57,2,1.84,1,0.2,0.56,2.72,1.38,0.18,4.24,2.3,12,10,7.88,1.86,0.81,0.06,10.6
130,148,107,836,171,8,85,459,35,240,35,142,69,1567,227,22,205,138,107,90.3382183856735,0.863238713718568,0.663940062456262,0.0776817815281341,0.370810921992198,0.534953519234321,2776,85.2,14.398125,64.6875,35.3125,188.166666666667,10.295,102.966666666667,-4.103125,6.48478270839588,3.10741293281734,159,8.3942857143,52,-0.691109447440508,709,29.7,17.6,57.12,19.6,23.28,44,33,17.3,1.38,6.17,0.01,2.48,143,1181,286,34.3,176,3.25,75,1.49,0.41,1.27,7.41,1.71,1.4,1.36,1.08,0.08,0.52,1.02,1.18,1.34,2.53,6.32,22.3,16,5.91,2.34,0.37,0.15,8.77
153,175,123,585,116,5,86,325,20,185,20,181,69,2094,272,12,260,172,123,63.3382183856735,0.731849973467985,0.52785891165814,0.0468210894351745,0.287340000546657,0.435509991520433,2253,121.825,8.055,18.75,81.25,169.25,10.5025,47.425,2.4475,5.95904230642562,-1.81164445156935,174,8.945,30,10.7646946706196,494,175,13.4,35.12,19.6,45.28,54,40.5,21.3,1.18,7.27,1.45,2.84,1055,2710,660,419,29.6,10.5,6.28,2.12,1.11,10.2,7.87,7.74,3.16,0.56,4.78,0.44,0.8,3.2,3.05,4.08,2.51,2,7.04,5,13.6,5.41,2.7,1.82,23.5
198,216,182,966,207,3,106,595,12,271,23,158,75,1301,304,95,209,203,191,22.3382183856735,0.906852271049509,0.705596242221694,0.167168486359467,0.436382364290581,0.593205666543557,1665,46.45,8.77916666666667,83.3333333333333,18.25,147.75,7.6625,101.3,-1.11666666666667,0.408856617066927,1.42638379878931,419,16.8788888889,46,-1.68185850365998,818,33.3,12,61.12,11.6,27.28,40,30,15.8,1.44,5.9,0.01,2.15,428,915,290,28.2,58.6,1.94,15.7,1,0.3,1.15,6.64,1.47,0.76,0.64,0.65,0.23,0.01,1.6,0.7,0.69,1.92,2.18,6.39,4,4.58,2.38,1.09,0.12,8.17
