pop,mom,label
TZ,13,tz13
TZ,2,tz2
TZ,3,tz3
TZ,4,tz4
TZ,16,tz16
TZ,19,tz19
TZ,23,tz23
TZ,9,tz9
TZ,10,tz10
TZ,12,tz12
FP,1,fp1
FP,2,fp2
FP,3,fp3
FP,4,fp4
FP,5,fp5
FP,B,fpB
FP,E,fpE
FP,8,fp8
FP,9,fp9
FP,12,fp12
MT,1,mt1
MT,2,mt2
MT,4,mt4
MT,5,mt5
MT,7,mt7
MT,8,mt8
MT,9,mt9
MT,10,mt10
MT,11,mt11
MT,12,mt12
DA,1,da1
DA,2,da2
DA,3,da3
DA,4,da4
DA,5,da5
DA,6,da6
DA,8,da8
DA,9,da9
DA,10,da10
DA,11,da11
MC,1,mc1
MC,2,mc2
MC,3,mc3
MC,5,mc5
MC,6,mc6
MC,8,mc8
MC,9,mc9
MC,10,mc10
MC,11,mc11
MC,12,mc12
M,2,m2
M,3,m3
M,4,m4
M,5,m5
M,6,m6
M,7,m7
M,8,m8
M,9,m9
M,10,m10
M,11,m11
TC,1,tc1
TC,2,tc2
TC,3,tc3
TC,4,tc4
TC,5,tc5
TC,E,tcE
TC,7,tc7
TC,8,tc8
TC,I,tcI
TC,12,tc12
TX,2,tx2
TX,3,tx3
TX,4,tx4
TX,A,txA
TX,7,tx7
TX,8,tx8
TX,9,tx9
TX,10,tx10
TX,11,tx11
TX,12,tx12
CL,1,cl1
CL,2,cl2
CL,4,cl4
CL,5,cl5
CL,6,cl6
CL,7,cl7
CL,8,cl8
CL,9,cl9
CL,11,cl11
CL,12,cl12
CU,1,cu1
CU,2,cu2
CU,4,cu4
CU,5,cu5
CU,7,cu7
CU,8,cu8
CU,9,cu9
CU,10,cu10
CU,11,cu11
CU,12,cu12
AM,A,amA
AM,B,amB
AM,C,amC
AM,D,amD
AM,E,amE
AM,F,amF
AM,G,amG
AM,H,amH
TZL,A,tzlA
TZL,B,tzlB
TZL,C,tzlC
TZL,D,tzlD
TZL,E,tzlE
TZL,F,tzlF
TZL,G,tzlG
TZL,H,tzlH
TZL,I,tzlI
TZL,J,tzlJ
